old_Value,new_value
-3.46436,12
-3.15735,13
-2.75696,14
-2.52197,15
-2.42317,16
-2.3436,17
-2.21844,18
-2.05048,19
-1.86962,20
-1.69163,21
-1.55078,22
-1.43907,23
-1.32828,24
-1.1943,25
-1.05308,26
-0.92104,27
-0.79151,28
-0.67825,29
-0.58016,30
-0.46725,31
-0.34799,32
-0.24649,33
-0.14882,34
-0.05188,35
0.04257,36
0.13606,37
0.22393,38
0.31287,39
0.41667,40
0.52135,41
0.62967,42
0.73545,43
0.82562,44
0.91093,45
1.02119,46
1.13281,47
1.23461,48
1.37297,49
1.49158,50
1.60383,51
1.72012,52
1.8399,53
1.98437,54
2.127,55
2.28554,56
2.46262,57
2.61139,58
2.82196,59
3.27393,60
